Date,Region,Product,Category,Sales Revenue,Units Sold,Customer Satisfaction,Operational Efficiency
2025-07-11,East,Widget B,Office,638.14,3,8.0,0.5866
2025-07-12,North,Widget B,Office,5610.09,33,1.0,0.9439
2025-07-13,South,Gadget X,Electronics,3417.61,50,4.0,0.8556
2025-07-14,East,Widget B,Home,3231.57,14,4.0,0.8102
2025-07-15,South,Widget A,Electronics,4564.55,39,9.0,0.7131
2025-07-16,East,SuperTool,Electronics,3184.12,29,9.0,0.8979
2025-07-17,South,Widget B,Home,366.7,29,2.0,0.9785
2025-07-18,East,Widget B,Office,1467.94,37,2.0,0.7679
2025-07-19,East,Gadget X,Home,2047.14,34,,0.8327
2025-07-20,North,SuperTool,Electronics,5589.95,31,2.0,0.6685
2025-07-21,East,Widget A,Home,2674.34,27,1.0,0.7645
2025-07-22,South,Widget B,Home,879.11,7,7.0,0.6842
2025-07-23,South,Gadget X,Home,2205.45,47,8.0,0.8642
2025-07-24,East,Gadget Y,Office,983.8,5,3.0,0.6708
2025-07-25,East,Gadget Y,Electronics,4238.35,31,6.0,0.8507
2025-07-26,North,Widget B,Electronics,779.34,47,2.0,0.6615
2025-07-27,North,SuperTool,Home,4815.63,45,7.0,0.6406
2025-07-28,North,Widget A,Electronics,2237.32,11,1.0,0.9461
2025-07-29,West,Widget B,Electronics,2205.52,9,10.0,0.8553
2025-07-30,North,SuperTool,Electronics,3586.36,32,10.0,0.7178
2025-07-31,South,Widget A,Home,4237.16,20,3.0,0.719
2025-08-01,West,SuperTool,Office,2553.43,22,8.0,0.8732
2025-08-02,South,Widget B,Office,2217.44,17,9.0,0.7661
2025-08-03,South,Widget B,Home,274.38,50,5.0,0.5153
2025-08-04,South,Gadget X,Home,1540.16,25,7.0,0.6313
2025-08-05,North,Gadget Y,Electronics,4832.1,7,2.0,0.8334
2025-08-06,West,Gadget X,Office,358.46,24,6.0,0.7458
2025-08-07,East,Widget B,Electronics,1042.3,21,6.0,0.8688
2025-08-08,West,Widget A,Electronics,2779.84,43,4.0,0.728
2025-08-09,South,Widget A,Office,1782.79,5,4.0,0.5593
2025-08-10,North,Widget A,Electronics,4042.45,33,9.0,0.9528
2025-08-11,West,Gadget X,Office,2351.08,25,1.0,0.5704
2025-08-12,South,Widget A,Office,1106.51,7,4.0,0.528
2025-08-13,East,Gadget X,Electronics,3821.34,45,1.0,0.5511
2025-08-14,East,SuperTool,Home,1916.38,42,10.0,0.5828
2025-08-15,West,Gadget X,Home,1497.81,14,5.0,0.9726
2025-08-16,East,SuperTool,Electronics,3625.42,49,8.0,0.5216
2025-08-17,North,Widget A,Home,1371.28,35,10.0,0.9827
2025-08-18,South,Widget A,Electronics,4445.87,20,4.0,0.5391
2025-08-19,South,Gadget Y,Office,1776.08,47,2.0,0.903
2025-08-20,North,Widget A,Electronics,5391.1,25,2.0,0.7044
2025-08-21,East,Widget A,Office,2660.27,40,3.0,0.6779
2025-08-22,West,Widget B,Electronics,137.78,30,6.0,0.6089
2025-08-23,South,Gadget Y,Home,1035.64,46,2.0,0.8
2025-08-24,West,Widget B,Office,2434.29,11,9.0,0.8512
2025-08-25,West,Widget A,Office,908.66,26,5.0,0.7884
2025-08-26,East,Gadget Y,Electronics,3692.13,13,7.0,0.6665
2025-08-27,East,Gadget Y,Home,1345.71,2,5.0,0.8746
2025-08-28,East,Widget B,Office,155.49,4,5.0,0.9516
2025-08-29,West,Widget B,Office,143.02,27,1.0,0.5705
2025-08-30,East,Widget A,Electronics,4115.24,47,9.0,0.5644
2025-08-31,West,SuperTool,Electronics,652.52,20,2.0,0.5922
2025-09-01,North,Widget A,Home,1086.97,10,2.0,0.9124
2025-09-02,West,Gadget Y,Electronics,4966.57,2,9.0,0.9931
2025-09-03,South,Widget B,Home,4445.78,6,7.0,0.9322
2025-09-04,West,Gadget Y,Electronics,3670.12,21,4.0,0.6119
2025-09-05,West,Gadget Y,Home,1936.42,34,,0.9351
2025-09-06,West,Gadget X,Electronics,3350.02,36,5.0,0.8261
2025-09-07,North,Widget A,Office,4915.18,23,8.0,0.577
2025-09-08,South,Gadget X,Office,1092.05,8,5.0,0.8537
2025-09-09,North,Gadget X,Home,2884.15,40,10.0,0.7909
2025-09-10,East,Widget A,Electronics,4553.56,42,5.0,0.9275
